Job_Index;Job_Title;Company_Name;Job_Location;Tasks;Skills;Job_Search_Term
12;Business Analyst Kredite (Konsortialkredite);Pro Informatik AG;Zürich;Business Analyse und Requirements Engineering in Finanzierungsapplikationen im Privat- und Firmenkundengeschäft mit Fokus auf die Bestandesführung in den spezialisierten Segmenten (Konsortialkredite/Loan Syndication) | Durchführung von Detailanalysen sowie Erstellung von Spezifikationen für Features und User Stories | Unterstützung des Entwickler-Teams bei fachlichen Fragen | Erstellung von Testfällen sowie Durchführung von Tests (Features/Stories) in allen Umgebungen, inkl. End-to-End-Testing | Pflege und Aktualisierung der relevanten Projektdokumentation und Handbücher;Mehrjährige Erfahrung als Business Analyst in der Finanzbranche | Erfahrung im Finanzierungsgeschäft (Hypotheken und Kredite) | Erfahrung in der Integration von IT-Systemen | Kenntnisse in agilen Projektmanagement-Methoden (Scrum, SAFe) | Kenntnisse in Jira, Confluence und SharePoint | Fliessende Deutsch- und Englischkenntnisse;Business Analyst
13;Business Analyst Leistungen & Consulting;Centris AG;Solothurn;Mit deinem Wissen entwickelst du die Branchenlösung Adcubum Syrius weiter und du wirkst bei Neuentwicklungen mit | Du analysierst fachliche Kundenanforderungen zusammen mit Spezialisten aus Entwicklung oder Technik und erarbeitest Lösungen und Spezifikationen auf Basis der Kundenanforderungen | Du setzt Business Requirements mittels Parametrierung im Kernsystem um | Du analysierst, modellierst und optimierst Geschäftsprozesse zusammen mit Kunden | Du arbeitest in spannenden Kundenprojekten mit und unterstützt das Team in vielfältigen Fragestellungen im Leistungsbereich;Abgeschlossene Berufsbildung in IT/Wirtschaftsinformatik oder im kaufmännischen Bereich mit Erfahrung im IT Umfeld und mit IT Applikationen | Mehrjährige Berufserfahrung in der methodischen Analyse, Konzepterstellung und Spezifikation von Business Anforderungen | Fachkenntnisse im Kranken- oder Unfallversicherungsbereich, von Vorteil im Leistungsbereich | Erfahrung in der Parametrierung von Adcubum Syrius und SQL-Kenntnisse von Vorteil;Business Analyst
14;Business Analyst (80 - 100 %);Schweizerisch-Liechtensteinischer Gebäudetechnikverband;Zürich;Du analysierst die Geschäftsprozesse, Systeme und Strukturen, identifizierst Probleme und Schwachstellen und erarbeitest Software-Lösungsvorschläge für die Verbesserung der Effizienz, Sicherheit und Wettbewerbsfähigkeit unseres Unternehmens und der Gebäudetechnikbranche | Du spezifizierst und leitest Softwareprojekte für die Weiterentwicklung des suissetec Online-Gebäudetechnikportals für Kunden (Web-Applikationen) und für die Automation der suissetec Geschäftsprozesse (Datenbanken, Webshop/Vertrieb, Schnittstellen, API und Web Services Anbindungen, Data Warehouse Hub, etc.) | Du unterstützt die Teams bei der internen Einführung neuer Software-Anwendungen und Prozesse im Unternehmen. Du unterstützt den Vertrieb, indem du für reibungslose, stabile, effiziente, sichere und intuitive Kunden-Applikationen sorgst | Mit deinem Können und Einsatz bauen wir unsere digitale Vorreiterrolle in der Gebäudetechnikbranche weiter aus;Fundierte Softwareausbildung (auf Stufe Bachelor/Master) oder gleichwertige Ausbildung | Erfahrung mit Webtechnologien und Datenbanken | Projektleitungserfahrung | Ausgeprägte analytische Fähigkeiten, komplexe Probleme zu durchdringen und Daten fundiert zu interpretieren | Interaktionsfähigkeiten: Effiziente Zusammenarbeit mit verschiedenen Teams, auch ohne direkte Weisungsbefugnis | Problemlösungskompetenz, Entwicklung von kreativen und effektiven Lösungen für geschäftliche Herausforderungen | Sehr gute Kommunikations- und Präsentationsfähigkeiten | Kenntnisse in den Bereichen API-Design und –Management | Geschäftswissen: Ein tiefes Verständnis für Geschäftsmodelle, Prozesse und Ziele eines Unternehmens | Vertraut mit Microsoft-Umfeld und heterogenen ICT-Infrastruktur-Umgebungen von Vorteil (Microsoft Azure Cloud, Microsoft 365, Microsoft Intune, SaaS, Clients, LAN, WLAN, IP-Telefonie, Mobile Devices, Multimedia usw.);Business Analyst
15;Business Analyst CC Firmenkunden;Centris AG;Solothurn;Analysieren und Modellieren von Geschäftsprozessen im Krankenversicherungsbereich, insbesondere in der Versicherungstechnik des Firmenkundengeschäfts im Bereich Entschädigungen | Erarbeiten und Beurteilen von Lösungsvarianten hinsichtlich Funktionalität, Qualität & Wirtschaftlichkeit | Aufnahme, Analyse, Spezifikation und Dokumentation von Business-Anforderungen | Umsetzung der Kundenanforderungen mittels Parametrierungen im Kernsystem (Syrius) | Unterstützung beim Testen neuer Releases und Parametrierungen | Mitwirkung in Kundenprojekten;Abgeschlossene Berufsbildung im Bereich Informatik oder KV mit entsprechender höherer Weiterbildung im Bereich IT oder Business Analyse (bspw. Wirtschaftsinformatiker FH) | Mindestens 5 Jahre Erfahrung und Fachkenntnisse im Bereich Kranken- und Unfallversicherung, vorzugsweise in der Versicherungstechnik des Firmenkundengeschäfts im Bereich Entschädigungen | Mehrjährige Erfahrung in der Parametrierung, insbesondere von Syrius | Vorzugweise Erfahrung mit agilen Arbeitsmethoden, idealerweise nach SAFe | Methodische Kenntnisse in der Erfassung und Analyse von Business Anforderungen;Business Analyst
16;Business Analyst/ Process & Requirements-Engineer 100% (a);Freestar-People AG;Zürich;"Anforderungen aufspüren: Du arbeitest mit den Kunden zusammen und bringst ihre Wünsche und Anforderungen auf den Punkt - quasi wie ein Gedankenleser, nur mit mehr IT-Knowhow und weniger Hokuspokus | Prozesse modellieren: BPMN 2.0 ist für dich kein Geheimcode, sondern dein Werkzeug, um Geschäftsprozesse verständlich darzustellen | Workshops rocken: Du organisierst und moderierst Workshops und verwandelst komplexe Themen in klare Konzepte - mit Use Cases, Prozessdiagrammen und einer Prise Charme | Der Vermittler sein: Du bist das Bindeglied zwischen Fachabteilungen, IT-Partnern und Softwarelieferanten - quasi der Dolmetscher zwischen ""Fachchinesisch"" und ""IT-Kauderwelsch"" | Testen, analysieren, schulen: Du definierst Testfälle, gehst Fehlern auf den Grund und sorgst dafür, dass die Benutzer bestens geschult sind - damit nach dem Go-Live kein Chaos ausbricht | Beraten und unterstützen: Wenn Fachabteilungen Fragen haben, bist du zur Stelle - als kluger Kopf mit einem offenen Ohr und einem klaren Plan";Erfahrung: Mindestens 3-5 Jahre als Business Analyst oder Requirements Engineer in einer Schweizer Bank (Finanzierung, Hypotheken, KMU-Kredite etc.) | Methodenkenntnisse: BPMN 2.0 und UML sind für dich kein Neuland, sondern bewährte Tools, um Prozesse sichtbar zu machen | Zertifikate? Nice to have! Falls du eine Zertifizierung als Requirements Engineer oder Business Analyst hast, umso besser - aber keine Sorge, unser Kunde akzeptiert auch Naturtalente! | Kommunikationstalent: Du kannst komplexe Themen verständlich erklären und überzeugst mit deiner klaren, analytischen Denkweise | Digitalisierung ist dein Ding: Du hast eine Affinität für digitale Trends und weisst, wie man moderne Tools smart einsetzt | Deutsch? Verhandlungssicher! Und wenn es sein muss, bist du auch bereit, mal quer durch die Schweiz zu reisen;Business Analyst
17;Senior Business Analyst Output;Centris AG;Solothurn;Du unterstützt aktiv die Ablösung von Altsystemen und begleitest die reibungslose Überführung in unser neues System | Gemeinsam mit dem Team stellst du den stabilen Betrieb unseres Output Management (OMS) sicher | Du analysierst Anforderungen und erstellst Spezifikationen von Output-Dokumenten gemäss Business Requirements | Du bringst dich in die Weiterentwicklung unseres Output-Standards ein und setzt fachliche Anforderungen in praxisnahe Lösungen um | Störungen im produktiven System gehst du strukturiert an und unterstützt deren nachhaltigen Behebung | In Workshops übernimmst du die Planung und Moderation, sowohl intern als auch im Austausch mit unseren Kunden | Du bewegst dich in einem agilen Umfeld, das durch kurze Entscheidungswege, iterative Entwicklung und crossfunktionale Zusammenarbeit geprägt ist;Abgeschlossene Berufsbildung (IT oder KV) und eine Weiterbildung in Wirtschaftsinformatik/BWL mit Wirtschaftsinformatik oder vergleichbar | Erfahrung in Business Analyse sowie Requirement Engineering | Technisches Verständnis und Kenntnisse im Umgang mit Jira, Confluence, und Splunk sind von Vorteil | Berufserfahrung im Bereich des Kranken-/Unfallversicherungswesen | Erfahrung mit Syrius und/oder dem OMS Serie M/ von kwsoft von Vorteil;Business Analyst
18;Business Analyst, 80-100%;Swiss GRC AG;Luzern;Du identifizierst, analysierst, priorisierst und formulierst Anforderungen im Rahmen von unterschiedlichen Kundenprojekten zur erfolgreichen Einführung unserer GRC-Softwareplattform | Du analysierst und optimierst die GRC-Prozesse (Risikomanagement, Compliance, Informationssicherheit, Datenschutz usw.) unserer Kunden | Du berätst unsere Kunden bzgl. der Digitalisierung von GRC-Prozessen und schulst sie im Zusammenhang mit der Nutzung unserer Softwarelösung | Du führst Softwaretests durch und stellst eine hohe Qualität sicher | Du führst die Kundenprojekte von der Anforderungsaufnahme bis hin zum erfolgreichen Projektabschluss | Du hilfst so weit möglich bei der Konfiguration der GRC-Softwareplattform mit | Du arbeitest eng mit den Solution Consultants und Engineers zusammen;Abgeschlossene Aus-/Weiterbildung (Informatik, Wirtschaftsinformatik oder ähnliche Qualifikationen) | Fähigkeit Prozesse zu analysieren, Lösungen zu entwerfen und diese im Team technisch sauber umzusetzen | Erfahrung in der Führung von Projekten (Projektmanagement) | IT-Erfahrung idealerweise im Bereich Enterprise Software | Optional: Erfahrung in einem oder mehreren GRC-Bereichen | Verhandlungssicher in Deutsch, gute Kenntnisse in Englisch | Freude in der Kommunikation mit Kunden und Partnern | Offene und lösungsorientierte Persönlichkeit mit viel Freude am Umgang mit IT und Menschen;Business Analyst
19;Business Analyst m/w (100 %);OSIV Solution Center;Basel;"Unterstützung Produktlebenszyklus | Ermittlung und Bewertung der Kundenbedürfnisse | Erhebung und Analyse der Anforderungen an die Applikation | Strukturierung, Spezifizierung und Modellierung von Konzepten und Lösungs-
ansätzen | Mitarbeit bei der Priorisierung und Planung des Backlogs | Aktive Mitarbeit und Unterstützung von Projekten | Unterstützung der Kunden und des Service Desks bei Anwendungsproblemen,
deren Analyse und der Erarbeitung von Lösungsvorschlägen";Hochschulabschluss (FH) in Wirtschaftsinformatik oder vergleichbare Ausbildung | Umfassende Erfahrung in der Durchführung von Softwareentwicklungsprojekten | Gute Kommunikationsfähigkeiten und Teamgeist | Selbständiges Handeln und sicheres Auftreten | Gute Deutsch- und Englischkenntnisse;Business Analyst
20;Business Analyst - Payments (100 %);Bank CIC (Schweiz) AG;Basel;Sie fungieren als technischer und funktionaler Experte für schweizer- und internationale Zahlungen (SIC/SWIFT) sowie für Interbankennachrichten (ISO 20022) | Sie sind Zuständig für Design und Einführung von digitalen Lösungen im Bereich Zahlungsverkehr (eLounge, eBill, bLink, EBICS, Safewatch etc.) | Sie unterstützen die Fachbereiche bei der Formulierung von Business Requirements | Sie erstellen innerhalb der vorgegebenen Fristen qualitativ hochwertige Spezifikationen | Sie identifizieren alle Beteiligten (Nutzer, Manager, Regulierungsbehörden usw.) und Abhängigkeiten | Sie erarbeiten Vorschläge zur Umsetzung von Lösungen in Abstimmung mit der IT um sicherzustellen, dass die vorgeschlagene Lösung den fachlichen und technischen Anforderungen entspricht | Sie sind Zuständig für die Unterstützung der Testkoordinatoren und Tester bei der Erstellung der Testdrehbücher, Begleitung der Benutzertests und Durchführung von Support sowie Benutzerschulungen, um den reibungslosen Übergang vom Projektmodus zum Betrieb sicherzustellen | Sie pflegen und entwickeln die Anwendungsumgebung weiter, um die Qualität der Anwendungen und die Leistungsfähigkeit der Organisation zu gewährleisten;no skills found on this job ad;Business Analyst
21;Business Analyst - Finance & Accounting (100 %);Bank CIC (Schweiz) AG;Basel;Sie sind Zuständig für Design und Einführung von digitalen Lösungen im Bereich Accounting (Buchungsregel- und Bilanzierungsregeldefinition) | Sie unterstützen die Fachbereiche bei der Formulierung von Business Requirements | Sie erstellen innerhalb der vorgegebenen Fristen qualitativ hochwertige Spezifikationen | Sie identifizieren alle Beteiligten (Nutzer, Manager, Regulierungsbehörden usw.) und Abhängigkeiten | Sie erarbeiten Vorschläge zur Umsetzung von Lösungen in Abstimmung mit der IT um sicherzustellen, dass die vorgeschlagene Lösung den fachlichen und technischen Anforderungen entspricht | Sie sind Zuständig für die Unterstützung der Testkoordinatoren und Tester bei der Erstellung der Testdrehbücher, Begleitung der Benutzertests und Durchführung von Support sowie Benutzerschulungen, um den reibungslosen Übergang vom Projektmodus zum Betrieb sicherzustellen | Sie pflegen und entwickeln die Anwendungsumgebung weiter, um die Qualität der Anwendungen und die Leistungsfähigkeit der Organisation zu gewährleisten;no skills found on this job ad;Business Analyst
22;SAP Utilities Business Analyst/in 80 - 100 % (m/w/d);Eniwa AG;Buchs AG;Stakeholderberatung und Bedarfsanalysen Fokus SAP Utilities-Prozesse (Abrechnung, Tarifbau, Gerätemanagement, Smart Metering, Marktkommunikation, Kundenportal usw.), | Implementierung und Customizing von Lösungen in den Bereichen SAP IS-U, SAP S/4HANA for Utilities | Analysieren, optimieren und harmonisieren der Geschäftsprozesse in Kooperation mit dem SAP Team und den Fachbereichen | Steuerung externer Dienstleister in Bezug auf die Leistungserbringung im Bereich Application Support und Implementierung von Changes und Releases | Aktive Mitarbeit in SAP-Projekten, von Planung, Konzeption, Umsetzung und Testing bis zur Übernahme (Teil-)Projektleitung | Beraten und Planen von Weiterentwicklungen im Modul SAP IS-U mit den relevanten Fachbereichen | Gewährleisten des laufenden Betriebs und Support (2nd- und 3rd-Level) des SAP IS-U sowie den Schnittstellen zu Umsystemen;Hochschulabschluss in Wirtschaftsinformatik oder vergleichbare Ausbildung mit entsprechender Weiterbildung | Mehrjährige Berufserfahrung im Bereich SAP IS-U oder PM/EAM sind von Vorteil | Erfahrung in der Business Analyse, im Projektmanagement und mit IT Service Management Prozessen (Zertifizierungen von Vorteil) | Lösungsorientiertes und prozessübergreifendes Denken und Handeln, sehr gutes analytisches Denkvermögen, schnelle Auffassungsgabe | Organisatorische und konzeptionelle Fähigkeiten, sowie strukturierte und selbstständige Arbeitsweise | Hohe Sozialkompetenz und ausgeprägte Teamfähigkeit | Gute Kommunikationsfähigkeit in Deutsch, Englisch von Vorteil;Business Analyst
23;Business Analyst - Junior Projektmanager 80-100%;Seniorendienste Schweiz AG;Rheinfelden;Zusammenarbeit mit Stakeholdern, Interviews, Workshops, Umfragen führen, analysieren und dokumentieren | Bewertung der Geschäftsprozesse, Identifizierung von Ineffizienzen und optimierte Arbeitsabläufe vorschlagen | Datenanalyse die zur Strategieentwicklung beitragen | Zusammenarbeit mit technischen Teams zur Integration von Lösungen | Erstellen von Dokumentationen | Benutzertests durchführen und validieren | Unterstützung bei Projektplanung und -umsetzung | Support und Schulung bei Einführung neuer Prozesse oder Systeme;Bachelorabschluss in Betriebswirtschaft, Informationstechnologie oder einem verwandten Bereich | 2 Jahre Berufserfahrung als Business Analyst oder in einer ähnlichen Position | Beherrschung von MS Office Tools und Visio | Zusätzliche Kurse wie PMP sind von Vorteil | Vertrautheit mit Datenanalyse-Tools von Vorteil | Grundlegendes Verständnis von Projekt- und Softwareentwicklungs-Methodiken | Ausgeprägte analytische Fähigkeiten und Problemlösungskompetenz | Ausgezeichnete Kommunikations- und zwischenmenschliche Fähigkeiten | Prioritäten setzen und mit Termindruck umgehen können | Erfahrung im Gesundheitswesen und in der häuslichen Pflege ist von Vorteil | Sehr gute Deutsch- und Englischkenntnisse, Französischkenntnisse von Vorteil;Business Analyst
