Job_Index;Job_Title;Company_Name;Job_Location;Tasks;Skills;Job_Search_Term;text;Cluster;Cluster_Label
89;Künstlerische Assistenz 60%;Hochschule Luzern;Emmenbrücke;Unterstützung der Studienrichtungsleitung in der Organisation der Lehre und interner Prozesse | Koordination und Mitarbeit bei der Instandhaltung der räumlichen, technischen und digitalen Infrastruktur | Support des Unterrichts sowie Anlaufstelle für Studierende, Dozierende und Gäste im Hochschulalltag | Mitarbeit in der Kommunikation und Öffentlichkeitsarbeit (Deutsch und Englisch) | Mitarbeit bei Print- und Online Gestaltung- und Publikationsprojekten der Studienrichtung | Mitwirkung bei Planung und Durchführung von Veranstaltungen wie Werkschau, Infotage, Ausstellungen, Messen...etc | Administrative Aufgaben;Abgeschlossenes Hochschulstudium an einer Kunsthochschule, BA oder MA im Bereich Visuelle Kommunikation, Interaction Design oder gegenwärtigen Bildpraktiken (sog. «post-photography») | Fähigkeit und Bereitschaft zu strukturiertem und gut organisiertem Arbeiten im Team | Gute Kenntnisse im Umgang mit Grafikdesign, Typografie, Webdesign und sozialen Medien | Gute Kenntnisse und Umgang mit Software-Skills: Adobe Creative Suite, Microsoft Office und Bereitschaft sich neue digitale Skills anzueignen | Guter Umgang mit fotografischem und digitalem Produktionsequipment | Interesse an Kommunikation und Vermittlungstätigkeiten | Sprachgewandt in Wort und Schrift: Deutsch und Englisch | Fähigkeit Verantwortung zu übernehmen für (begleitete) Projektentwicklung, selbstständiges und mitdenkendes Arbeiten | Teamplayer | Idealerweise Basiskenntnisse in Geschichte und Theorie der Fotografie;Data Science;Unterstützung der Studienrichtungsleitung in der Organisation der Lehre und interner Prozesse | Koordination und Mitarbeit bei der Instandhaltung der räumlichen, technischen und digitalen Infrastruktur | Support des Unterrichts sowie Anlaufstelle für Studierende, Dozierende und Gäste im Hochschulalltag | Mitarbeit in der Kommunikation und Öffentlichkeitsarbeit (Deutsch und Englisch) | Mitarbeit bei Print- und Online Gestaltung- und Publikationsprojekten der Studienrichtung | Mitwirkung bei Planung und Durchführung von Veranstaltungen wie Werkschau, Infotage, Ausstellungen, Messen...etc | Administrative Aufgaben Abgeschlossenes Hochschulstudium an einer Kunsthochschule, BA oder MA im Bereich Visuelle Kommunikation, Interaction Design oder gegenwärtigen Bildpraktiken (sog. «post-photography») | Fähigkeit und Bereitschaft zu strukturiertem und gut organisiertem Arbeiten im Team | Gute Kenntnisse im Umgang mit Grafikdesign, Typografie, Webdesign und sozialen Medien | Gute Kenntnisse und Umgang mit Software-Skills: Adobe Creative Suite, Microsoft Office und Bereitschaft sich neue digitale Skills anzueignen | Guter Umgang mit fotografischem und digitalem Produktionsequipment | Interesse an Kommunikation und Vermittlungstätigkeiten | Sprachgewandt in Wort und Schrift: Deutsch und Englisch | Fähigkeit Verantwortung zu übernehmen für (begleitete) Projektentwicklung, selbstständiges und mitdenkendes Arbeiten | Teamplayer | Idealerweise Basiskenntnisse in Geschichte und Theorie der Fotografie;3;Business / Communication
92;Senior Consultant - Technology Consulting - Cyber Security (80-100%);EY (Ernst & Young AG);Zürich;Your focus will be on Cybersecurity consulting, information security, and risk assessment of processes, applications, systems, and IT infrastructures in banks and insurance companies | You will work on projects in hot topics in Cybersecurity such as cloud security, blockchain, DevOps, penetration testing, and security architecture | In addition, you will also take on tasks in the areas of IT risk assurance in terms of internal controls and risk and compliance management | As a member of an interdisciplinary team of specialists, you will support our customers in consulting projects in assessing and improving the effectiveness and quality in the field of Cybersecurity | Help our clients understand the Cyber threat landscape and assess the maturity of their Cybersecurity strategy;Degree (Bachelor's or Master's) in Business Information Technology, in a technical field (e.g. Computer Science) related to Cybersecurity topics, or equivalent education | Relevant professional experience (at least 2 - 3 years) in Cybersecurity, information security and technical IT security assessments | Sound organizational and technical knowledge in the area of Cybersecurity including experience with relevant security standards and frameworks (e.g. ISO 27001:2013, NIST Cybersecurity Framework etc.) | A must: Passion for consulting and Cybersecurity topics and an in-depth experience in one or more Cybersecurity areas such as (but not limited to) security architecture, data protection, network security, or identity and access management | Ideally, relevant industry certifications (e.g. CISSP, CISM, CRISC, CISA, etc.) | A plus: Previous knowledge of the financial services sector | Qualities guaranteed to boost your career at EY: ability to work in a team, determination, commitment, a strong presence, an independent working style, and a quick grasp of new topics | Fluent in German and English;Data Science;Your focus will be on Cybersecurity consulting, information security, and risk assessment of processes, applications, systems, and IT infrastructures in banks and insurance companies | You will work on projects in hot topics in Cybersecurity such as cloud security, blockchain, DevOps, penetration testing, and security architecture | In addition, you will also take on tasks in the areas of IT risk assurance in terms of internal controls and risk and compliance management | As a member of an interdisciplinary team of specialists, you will support our customers in consulting projects in assessing and improving the effectiveness and quality in the field of Cybersecurity | Help our clients understand the Cyber threat landscape and assess the maturity of their Cybersecurity strategy Degree (Bachelor's or Master's) in Business Information Technology, in a technical field (e.g. Computer Science) related to Cybersecurity topics, or equivalent education | Relevant professional experience (at least 2 - 3 years) in Cybersecurity, information security and technical IT security assessments | Sound organizational and technical knowledge in the area of Cybersecurity including experience with relevant security standards and frameworks (e.g. ISO 27001:2013, NIST Cybersecurity Framework etc.) | A must: Passion for consulting and Cybersecurity topics and an in-depth experience in one or more Cybersecurity areas such as (but not limited to) security architecture, data protection, network security, or identity and access management | Ideally, relevant industry certifications (e.g. CISSP, CISM, CRISC, CISA, etc.) | A plus: Previous knowledge of the financial services sector | Qualities guaranteed to boost your career at EY: ability to work in a team, determination, commitment, a strong presence, an independent working style, and a quick grasp of new topics | Fluent in German and English;1;General Data Science
93;Personal-Assistent 80-100%, m/w;Nicht offengelegter Arbeitgeber;Burgdorf;Mithilfe in der Personaladministration vom Eintritt bis zum Austritt | Führen der Zeiterfassung | Mithilfe bei der Rekrutierung | Unterstützung in der korrekten und termingerechten Abwicklung der Lohnzahlungen und Sozialversicherungen | Allgemeine administrative Tätigkeiten im HR-Bereich;Kaufmännische Grundausbildung | Weiterbildung als Personalassistent/in ist zwingend | 3-5 Jahre Berufserfahrung im HR | Sehr gute Deutschkenntnisse | Gute PC-Kenntnisse und gutes Verständnis für Zahlen | Erkennen von Schnittstellen und vernetztes, unternehmerisches Denken | Selbständige, analytische und exakte Arbeitsweise;Data Science;Mithilfe in der Personaladministration vom Eintritt bis zum Austritt | Führen der Zeiterfassung | Mithilfe bei der Rekrutierung | Unterstützung in der korrekten und termingerechten Abwicklung der Lohnzahlungen und Sozialversicherungen | Allgemeine administrative Tätigkeiten im HR-Bereich Kaufmännische Grundausbildung | Weiterbildung als Personalassistent/in ist zwingend | 3-5 Jahre Berufserfahrung im HR | Sehr gute Deutschkenntnisse | Gute PC-Kenntnisse und gutes Verständnis für Zahlen | Erkennen von Schnittstellen und vernetztes, unternehmerisches Denken | Selbständige, analytische und exakte Arbeitsweise;3;Business / Communication
94;Installateur électricien CFC - H/F;GI Group SA;1201 Genève;"Pose des compteurs dans les lieux publiques | Lecture des plans et schémas d'installations électriques ; | Veilliez sur les normes de securité | Assurer le bon fonctionnement des compteurs et bornes";"CFC Installateur Electricien ; | Expérience de 3 ans minimum ; | Tu es une personne autonome et rigoureuse.";Data Science;"Pose des compteurs dans les lieux publiques | Lecture des plans et schémas d'installations électriques ; | Veilliez sur les normes de securité | Assurer le bon fonctionnement des compteurs et bornes CFC Installateur Electricien ; | Expérience de 3 ans minimum ; | Tu es une personne autonome et rigoureuse.";3;Business / Communication
96;Ingénieur en Génie Thermique - Expert CECB - H/F;GI Group SA;1201 Genève;"Réaliser les audits énergétiques (CECB, CECB+, PEIK, etc.) ; | Effectuer les justificatifs énergétiques pour les autorisations de construire ; | Communiquer avec les maîtres d'ouvrages et les assister dans les projets de rénovations énergétiques ; | Développer et animer un réseau de partenaires, clients et prospects dans tout l'arc lémanique.";"Tu es ingénieur HES ou EPF en Génie Thermique ou Génie mécanique, ou titre jugé équivalent ; | Tu maîtrises les audits CECB+ et PEIK ; | Tu as au moins 5 ans d'expérience dans la réalisation d'audits énergétiques ; | Tu maîtrises le logiciel Lesosai; | Tu as une parfaite connaissance des règlementations et des lois énergétiques genevoises ; | Tu as déjà suivi des travaux d'exécution des projets d'assainissement énergétique ; | Tu es autonome, organisé, proactif, tu prends des responsabilités et tu es à l'aise avec les outils bureautique et la rédaction de rapports.";Data Science;"Réaliser les audits énergétiques (CECB, CECB+, PEIK, etc.) ; | Effectuer les justificatifs énergétiques pour les autorisations de construire ; | Communiquer avec les maîtres d'ouvrages et les assister dans les projets de rénovations énergétiques ; | Développer et animer un réseau de partenaires, clients et prospects dans tout l'arc lémanique. Tu es ingénieur HES ou EPF en Génie Thermique ou Génie mécanique, ou titre jugé équivalent ; | Tu maîtrises les audits CECB+ et PEIK ; | Tu as au moins 5 ans d'expérience dans la réalisation d'audits énergétiques ; | Tu maîtrises le logiciel Lesosai; | Tu as une parfaite connaissance des règlementations et des lois énergétiques genevoises ; | Tu as déjà suivi des travaux d'exécution des projets d'assainissement énergétique ; | Tu es autonome, organisé, proactif, tu prends des responsabilités et tu es à l'aise avec les outils bureautique et la rédaction de rapports.";3;Business / Communication
97;Senior Project Manager SAP S/4 Transition - PLM (m/f/d) (80-100%);Nicht offengelegter Arbeitgeber;Baden;Act as business representative of all impacted engineering teams and decide together with a strong business expert workstream team the future processes assigned to the PLM workstream | Define and secure with the workstream team the global template, striving for harmonized global PLM processes with product authority and master of reference for product data in Switzerland. Also considering the product data usage in Sourcing hubs in China and India and the global service network of Accelleron | Lead the business workstream PLM as part of the global S/4 Hana transition in a senior project manager role, supported by a cross-organizational team of subject matter experts | Ensure delivery of agreed vision, mission, targets, schedules, scope, quality, and budget. Represent the workstream in governance meetings and push for decisions | Closely collaborate with PLM IT Workstream Lead and project stakeholders. Strive for a balance between IT and business requirements | Establish and maintain an effective workstream organization and working mode, including planning, task allocation, and progress tracking | Facilitate alignment and pragmatic decision making with business workstream leads from other areas as well as with overall program management | Own the workstream’s risk and quality management, dependencies, and scope for the business area PLM;University degree in engineering, computer science or related field | IPMA Level B project management certification or equivalent;Data Science;Act as business representative of all impacted engineering teams and decide together with a strong business expert workstream team the future processes assigned to the PLM workstream | Define and secure with the workstream team the global template, striving for harmonized global PLM processes with product authority and master of reference for product data in Switzerland. Also considering the product data usage in Sourcing hubs in China and India and the global service network of Accelleron | Lead the business workstream PLM as part of the global S/4 Hana transition in a senior project manager role, supported by a cross-organizational team of subject matter experts | Ensure delivery of agreed vision, mission, targets, schedules, scope, quality, and budget. Represent the workstream in governance meetings and push for decisions | Closely collaborate with PLM IT Workstream Lead and project stakeholders. Strive for a balance between IT and business requirements | Establish and maintain an effective workstream organization and working mode, including planning, task allocation, and progress tracking | Facilitate alignment and pragmatic decision making with business workstream leads from other areas as well as with overall program management | Own the workstream’s risk and quality management, dependencies, and scope for the business area PLM University degree in engineering, computer science or related field | IPMA Level B project management certification or equivalent;1;General Data Science
98;Sourcing Manager (m/f/d);ITech Consult AG;Risch;Ensure all procurement requests are executed in line with category guidance and in compliance with relevant policies, standards, guidelines, and operating procedures, including preferred supplier arrangements and contracting requirements | Execute procurement requests in line with category guidance and compliance requirements | Collaborate with Procurement and Business stakeholders to understand and execute relevant procurement processes | Apply appropriate methodologies, tools, and value levers for effective procurement | Work with Category Management teams to address end-user requirements and identify opportunities for aggregation and leverage | Ensure consistent value delivery through continuous improvement methodologies, operational efficiencies, and optimal supplier performance | Collaborate with legal and contracting functions for contracting activities, including preparation and review of master agreements, statements of work, and change orders | Understand end-user requirements as received directly or indirectly | Leverage applicable category guidance documents and procurement knowledge to determine the best method for driving value in meeting the request | Execute support requests, applying continuous improvement methodologies where possible | Ensure compliance with applicable policies, standards, and operating procedures to maintain the organization's right to operate | Communicate the status, progress, and outcomes of procurement activities | Support the creation and review of relevant purchasing documentation | Maintain information flows back to the Category Management teams;University degree in business, supply chain, or a related field | Minimum 3 years of procurement experience with knowledge of basic contracting, business enterprise systems, and spot buying (****) | Strong communication skills and proven ability to translate business requirements into procurement specifications with customer service in mind (****) | Proven experience in direct procurement of raw materials, APIs, packaging, and lab supplies. | Strong supplier management, negotiation, and contract management skills. | Knowledge of procurement processes and enterprise tools (e.g., SAP). | Familiarity with Life Science regulations (GMP, GDP, ISO 13485, FDA). | Excellent stakeholder management, analytical thinking, and communication skills. | Knowledge of business enterprise tools (SAP) (****) | Experience or demonstrated understanding of supporting cost reduction and value improvement programs | Strong team player;Data Science;Ensure all procurement requests are executed in line with category guidance and in compliance with relevant policies, standards, guidelines, and operating procedures, including preferred supplier arrangements and contracting requirements | Execute procurement requests in line with category guidance and compliance requirements | Collaborate with Procurement and Business stakeholders to understand and execute relevant procurement processes | Apply appropriate methodologies, tools, and value levers for effective procurement | Work with Category Management teams to address end-user requirements and identify opportunities for aggregation and leverage | Ensure consistent value delivery through continuous improvement methodologies, operational efficiencies, and optimal supplier performance | Collaborate with legal and contracting functions for contracting activities, including preparation and review of master agreements, statements of work, and change orders | Understand end-user requirements as received directly or indirectly | Leverage applicable category guidance documents and procurement knowledge to determine the best method for driving value in meeting the request | Execute support requests, applying continuous improvement methodologies where possible | Ensure compliance with applicable policies, standards, and operating procedures to maintain the organization's right to operate | Communicate the status, progress, and outcomes of procurement activities | Support the creation and review of relevant purchasing documentation | Maintain information flows back to the Category Management teams University degree in business, supply chain, or a related field | Minimum 3 years of procurement experience with knowledge of basic contracting, business enterprise systems, and spot buying (****) | Strong communication skills and proven ability to translate business requirements into procurement specifications with customer service in mind (****) | Proven experience in direct procurement of raw materials, APIs, packaging, and lab supplies. | Strong supplier management, negotiation, and contract management skills. | Knowledge of procurement processes and enterprise tools (e.g., SAP). | Familiarity with Life Science regulations (GMP, GDP, ISO 13485, FDA). | Excellent stakeholder management, analytical thinking, and communication skills. | Knowledge of business enterprise tools (SAP) (****) | Experience or demonstrated understanding of supporting cost reduction and value improvement programs | Strong team player;3;Business / Communication
133;Senior Backend Engineer (a)*;Ringier AG;Zürich-Seefeld;You will play a significant role in major technical initiatives and projects, assisting in optimizing data pipelines and enhancing service performance | You will contribute to our evolving software architecture and crucial technology decisions | You will build and maintain backend services, ensuring reliability, performance, and scalability;"You possess a Bachelor's degree in Computer Science or equivalent and have 6+ years of professional experience in software development | You demonstrate strong programming skills in Node.js, Typescript, and Javascript | You have a solid understanding of backend technologies such as Redis, NoSQL, SQL Databases, and frameworks like NestJS or Express | You possess a solid grasp of AWS Services like SQS, Lambda, DynamoDB, S3, and API Gateway | You have deep knowledge of caching strategies to unload the origin | You are familiar with GraphQL, containerized development, and hosting (Docker) | You are fluent in English; German language proficiency is a plus";Data Science;"You will play a significant role in major technical initiatives and projects, assisting in optimizing data pipelines and enhancing service performance | You will contribute to our evolving software architecture and crucial technology decisions | You will build and maintain backend services, ensuring reliability, performance, and scalability You possess a Bachelor's degree in Computer Science or equivalent and have 6+ years of professional experience in software development | You demonstrate strong programming skills in Node.js, Typescript, and Javascript | You have a solid understanding of backend technologies such as Redis, NoSQL, SQL Databases, and frameworks like NestJS or Express | You possess a solid grasp of AWS Services like SQS, Lambda, DynamoDB, S3, and API Gateway | You have deep knowledge of caching strategies to unload the origin | You are familiar with GraphQL, containerized development, and hosting (Docker) | You are fluent in English; German language proficiency is a plus";1;General Data Science
135;Senior DevOps Engineer (a)*;Ringier AG;Zürich-Seefeld;You will play a significant role in major technical initiatives and projects focused on optimising data pipelines, improving service performance, and ensuring infrastructure scalability | Participate actively in evolving the software architecture and making key technology decisions with a strong emphasis on cloud infrastructure best practices | Design, develop, and maintain scalable, reliable backend services to meet high-performance standards;"Bachelor's degree in Computer Science or a related field, with 6+ years of professional software development experience | In-depth knowledge of backend technologies, including Redis, NoSQL and SQL databases, and frameworks such as NestJS or Express | Solid experience with AWS services: SQS, Lambda, DynamoDB, S3, and API Gateway | Advanced understanding of caching strategies to optimise origin load | Expertise in CI/CD pipelines and GitOps methodologies, including Infrastructure as Code using Serverless Framework and AWS CloudFormation | Strong proficiency with container orchestration, specifically Amazon EKS or Kubernetes | Skilled in monitoring, securing, and optimising AWS environments using Datadog and native AWS tools | Experience with JavaScript/TypeScript (e.g., Node.js) or other modern programming languages | AWS certifications (e.g., AWS Certified DevOps Engineer, AWS Solutions Architect) are highly desirable | Fluent in English; German language skills are a plus";Data Science;"You will play a significant role in major technical initiatives and projects focused on optimising data pipelines, improving service performance, and ensuring infrastructure scalability | Participate actively in evolving the software architecture and making key technology decisions with a strong emphasis on cloud infrastructure best practices | Design, develop, and maintain scalable, reliable backend services to meet high-performance standards Bachelor's degree in Computer Science or a related field, with 6+ years of professional software development experience | In-depth knowledge of backend technologies, including Redis, NoSQL and SQL databases, and frameworks such as NestJS or Express | Solid experience with AWS services: SQS, Lambda, DynamoDB, S3, and API Gateway | Advanced understanding of caching strategies to optimise origin load | Expertise in CI/CD pipelines and GitOps methodologies, including Infrastructure as Code using Serverless Framework and AWS CloudFormation | Strong proficiency with container orchestration, specifically Amazon EKS or Kubernetes | Skilled in monitoring, securing, and optimising AWS environments using Datadog and native AWS tools | Experience with JavaScript/TypeScript (e.g., Node.js) or other modern programming languages | AWS certifications (e.g., AWS Certified DevOps Engineer, AWS Solutions Architect) are highly desirable | Fluent in English; German language skills are a plus";2;Data Engineering / Architecture
137;IT System Engineer;RUAG AG;Emmen;You will keep our Linux and Windows servers and clients up and running and ensure that our network remains stable and secure | You will assist in setting up a secure IT infrastructure, support certifications such as ISO 27001 / TISAX and train our employees in IT security | You will keep an eye on the market, evaluate new hardware and software, maintain supplier contacts and ensure that our team is optimally equipped | You will assist our employees with IT issues, document our IT infrastructure and ensure smooth operations | You will ensure that the right software and data are available for our wind tunnel tests, accompany test runs and step in on call in emergencies | You will develop smart software solutions, automate processes and apply your expertise in C/C++, Python, Shell Scripting or LabVIEW for innovative applications | You will set up software development tools, version control and CI/CD pipelines and keep our development processes running smoothly;You have a university degree (bachelor's or master's) in computer science or a similar field and have gained sound knowledge at a university of applied sciences or university | good Linux and network skills | Scripting languages and Unix systems are your everyday tools, which you use with confidence. | Experience in C/C++ programming | Knowledge of Python and LabVIEW is an advantage | You enjoy working in a team, but are also independent, structured and responsible. | You are confident in German (level C1) and have a good command of English.;Data Science;You will keep our Linux and Windows servers and clients up and running and ensure that our network remains stable and secure | You will assist in setting up a secure IT infrastructure, support certifications such as ISO 27001 / TISAX and train our employees in IT security | You will keep an eye on the market, evaluate new hardware and software, maintain supplier contacts and ensure that our team is optimally equipped | You will assist our employees with IT issues, document our IT infrastructure and ensure smooth operations | You will ensure that the right software and data are available for our wind tunnel tests, accompany test runs and step in on call in emergencies | You will develop smart software solutions, automate processes and apply your expertise in C/C++, Python, Shell Scripting or LabVIEW for innovative applications | You will set up software development tools, version control and CI/CD pipelines and keep our development processes running smoothly You have a university degree (bachelor's or master's) in computer science or a similar field and have gained sound knowledge at a university of applied sciences or university | good Linux and network skills | Scripting languages and Unix systems are your everyday tools, which you use with confidence. | Experience in C/C++ programming | Knowledge of Python and LabVIEW is an advantage | You enjoy working in a team, but are also independent, structured and responsible. | You are confident in German (level C1) and have a good command of English.;1;General Data Science
145;Senior Network Software Development Engineer Linux / C++;RUAG AG;Zürich Seebach;As an experienced software developer you create smart and efficient software solutions for network communication (LAN, WLAN, WAN). | You develop concepts and contribute to specify the software architecture with a focus on network performance and Software-Defined-Networking (SDN). | You design software using agile methods - from analysis through to implementation in C++. | Part of your daily work is to analyze and solve SW problems as well as to assure the SW product quality in collaboration with an interdisciplinary team of highly skilled and motivated professionals.;"Higher education in Computer Science or Electrical Engineering (or equivalent qualification). | Professional experience in object-oriented software development (C, C++, Python) for network technology; ideally in the embedded security field (TPM, Secure Boot, System Management, etc.). | Strong Linux expertise with deep knowledge of network engineering (IP across all protocol layers, routing, Linux Netlink layer). | Proficiency in German or English, with a strong willingness to further develop German language skills.";Data Science;"As an experienced software developer you create smart and efficient software solutions for network communication (LAN, WLAN, WAN). | You develop concepts and contribute to specify the software architecture with a focus on network performance and Software-Defined-Networking (SDN). | You design software using agile methods - from analysis through to implementation in C++. | Part of your daily work is to analyze and solve SW problems as well as to assure the SW product quality in collaboration with an interdisciplinary team of highly skilled and motivated professionals. Higher education in Computer Science or Electrical Engineering (or equivalent qualification). | Professional experience in object-oriented software development (C, C++, Python) for network technology; ideally in the embedded security field (TPM, Secure Boot, System Management, etc.). | Strong Linux expertise with deep knowledge of network engineering (IP across all protocol layers, routing, Linux Netlink layer). | Proficiency in German or English, with a strong willingness to further develop German language skills.";1;General Data Science
147;Fachexpertin/Fachexperte Infektionsprävention;Spital Muri;5630;Verantwortung für das Hygienekonzept des Spitals und dessen Umsetzung zusammen mit einer weiteren Fachexpertin | Betreuung, Beratung und Unterstützung aller Mitarbeitenden und Kader im Bereich der Infektionsprävention | Surveillance und Prävention nosokomialer Infektion | Prozessverantwortung für die Spitalhygiene mit Fokus auf kontinuierliche Verbesserung | Verantwortung für die technische Hygiene z.B. Aufbereitung von Medizinprodukten | Erhebung und Auswertung hygienerelevanter Daten | Sie kennen die hygienerelevanten nationalen und kantonalen Vorschriften und gewährleisten spitalweit deren strikte Einhaltung | Erfassung der spitalweiten Compliance zu Hygienemassnahmen mittels Kontrollsysteme und Audits | Vorsitz der Hygienekommission und direkte Berichterstattung an die Spitalleitung | Direkte Unterstellung unter dem Chefarzt Medizin;Dienstleistungsorientierte, verantwortungsvolle Persönlichkeit | Strukturierte, gut organisierte und selbständige Arbeitsweise | Mehrjährige Berufserfahrung, vertraut mit den klinischen Prozessen eines Akutspitals | Hohe Fachkompetenz und überzeugende Persönlichkeit mit einem pädagogischen Geschick für Schulungen, um Mitarbeitende für prozessorientierte Zusammenarbeit zu gewinnen | Abgeschlossene Ausbildung als diplomierte Pflegefachperson HF oder Bachelor of Science in Pflege, Operationstechnik oder Geburtshilfe mit ergänzender Weiterbildung zur Fachexpertin/ Fachexperte für Infektionsprävention oder Bereitschaft, diese Ausbildung zu absolvieren;Data Science;Verantwortung für das Hygienekonzept des Spitals und dessen Umsetzung zusammen mit einer weiteren Fachexpertin | Betreuung, Beratung und Unterstützung aller Mitarbeitenden und Kader im Bereich der Infektionsprävention | Surveillance und Prävention nosokomialer Infektion | Prozessverantwortung für die Spitalhygiene mit Fokus auf kontinuierliche Verbesserung | Verantwortung für die technische Hygiene z.B. Aufbereitung von Medizinprodukten | Erhebung und Auswertung hygienerelevanter Daten | Sie kennen die hygienerelevanten nationalen und kantonalen Vorschriften und gewährleisten spitalweit deren strikte Einhaltung | Erfassung der spitalweiten Compliance zu Hygienemassnahmen mittels Kontrollsysteme und Audits | Vorsitz der Hygienekommission und direkte Berichterstattung an die Spitalleitung | Direkte Unterstellung unter dem Chefarzt Medizin Dienstleistungsorientierte, verantwortungsvolle Persönlichkeit | Strukturierte, gut organisierte und selbständige Arbeitsweise | Mehrjährige Berufserfahrung, vertraut mit den klinischen Prozessen eines Akutspitals | Hohe Fachkompetenz und überzeugende Persönlichkeit mit einem pädagogischen Geschick für Schulungen, um Mitarbeitende für prozessorientierte Zusammenarbeit zu gewinnen | Abgeschlossene Ausbildung als diplomierte Pflegefachperson HF oder Bachelor of Science in Pflege, Operationstechnik oder Geburtshilfe mit ergänzender Weiterbildung zur Fachexpertin/ Fachexperte für Infektionsprävention oder Bereitschaft, diese Ausbildung zu absolvieren;3;Business / Communication
149;Global Insights Manager;Bavarian Nordic Berna GmbH;Bern;You will be part of a dynamic international team of 13 Global Marketing professionals | Our environment is collaborative, innovative, and driven by a shared passion for understanding markets and our customers | Decision-making is supported by market research, customer insights, and competitive intelligence projects;Conduct market research and assessments to inform our strategies | Collaborate with Global & Regional Brand and Digital Leads to meet their insights needs | Lead and contribute to various market insights projects across the portfolio | Work closely with Marketing, Medical & Pricing stakeholders to understand their specific requirements | Assist in Global Competitive Intelligence projects | Support Global Marketing projects as needed;Data Science;You will be part of a dynamic international team of 13 Global Marketing professionals | Our environment is collaborative, innovative, and driven by a shared passion for understanding markets and our customers | Decision-making is supported by market research, customer insights, and competitive intelligence projects Conduct market research and assessments to inform our strategies | Collaborate with Global & Regional Brand and Digital Leads to meet their insights needs | Lead and contribute to various market insights projects across the portfolio | Work closely with Marketing, Medical & Pricing stakeholders to understand their specific requirements | Assist in Global Competitive Intelligence projects | Support Global Marketing projects as needed;1;General Data Science
150;Senior Manager Finance - Vitamins Unit Commercial;dsm-firmenich;Kaiseraugst;Collaboration & Process Setup: Partner with the Commercial Relationship Lead to define ways of working, SOPs, reporting requirements, and performance metrics to meet contractual obligations with the global key customer | Financial Oversight: Oversee commercial agreement results, prepare annual pricing, implement cost control measures, and manage financial KPIs | Project & Performance Monitoring: Establish project control mechanisms and regularly review overall financial performance, including compliance, pricing, and operating working capital | Reporting & Audits: Design and execute quarterly reconciliations, coordinate data and reporting for Operational Committee meetings, and handle audit requests | Stakeholder Management: Lead stakeholder engagement and resolve operational and financial issues effectively | Contractual Validation: Implement monthly, quarterly, and annual validation processes in line with contractual requirements;Unique career paths across Animal Nutrition & Health - explore what drives you and get the support to make it happen | A science led company, cutting edge research and creativity everywhere – from biotech breakthroughs to sustainability game-changers, you’ll work on what’s next | Growth that keeps up with you – you join an industry leader that will develop your expertise and leadership | A culture that lifts you up – with collaborative teams, shared wins, and people who cheer each other on. | Customer-first approach, turning ideas into impactful solutions;Data Science;Collaboration & Process Setup: Partner with the Commercial Relationship Lead to define ways of working, SOPs, reporting requirements, and performance metrics to meet contractual obligations with the global key customer | Financial Oversight: Oversee commercial agreement results, prepare annual pricing, implement cost control measures, and manage financial KPIs | Project & Performance Monitoring: Establish project control mechanisms and regularly review overall financial performance, including compliance, pricing, and operating working capital | Reporting & Audits: Design and execute quarterly reconciliations, coordinate data and reporting for Operational Committee meetings, and handle audit requests | Stakeholder Management: Lead stakeholder engagement and resolve operational and financial issues effectively | Contractual Validation: Implement monthly, quarterly, and annual validation processes in line with contractual requirements Unique career paths across Animal Nutrition & Health - explore what drives you and get the support to make it happen | A science led company, cutting edge research and creativity everywhere – from biotech breakthroughs to sustainability game-changers, you’ll work on what’s next | Growth that keeps up with you – you join an industry leader that will develop your expertise and leadership | A culture that lifts you up – with collaborative teams, shared wins, and people who cheer each other on. | Customer-first approach, turning ideas into impactful solutions;3;Business / Communication
